gap_type,total_cases,yasa_detected,lapis_detected,lapis_recovered,path_recovery_rate,notes
connectivity_gap,TBD,TBD,TBD,TBD,TBD,TBD
propagation_gap,TBD,TBD,TBD,TBD,TBD,TBD
mixed_gap,TBD,TBD,TBD,TBD,TBD,TBD
safe_or_control,TBD,TBD,TBD,TBD,TBD,TBD
total,TBD,TBD,TBD,TBD,TBD,TBD
