project,loc,yasa_findings,lapis_findings,new_findings,confirmed,valid_risky_flow,sanitized,false_positives,unknown,precision,notes
TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Total,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
