configuration,removed_component,recall,precision,f1,path_recovery,false_positives,llm_calls,notes
Full LAPIS,None,TBD,TBD,TBD,TBD,TBD,TBD,TBD
w/o Evidence,Static Evidence,TBD,TBD,TBD,TBD,TBD,TBD,TBD
w/o CCEC,Call-edge Contract,TBD,TBD,TBD,TBD,TBD,TBD,TBD
w/o CTPC,Propagation Contract,TBD,TBD,TBD,TBD,TBD,TBD,TBD
w/o Validation,Three-way Validation,TBD,TBD,TBD,TBD,TBD,TBD,TBD
w/o Stage Repair,Staged Repair,TBD,TBD,TBD,TBD,TBD,TBD,TBD
