case_id,project,gap_type,is_no_gap_control,requires_ccec,requires_ctpc,baseline_status,baseline_findings,baseline_sources,baseline_sinks,lapis_status,lapis_findings,lapis_sources,lapis_sinks,trace_status,ordered_trace_recovered,baseline_report,final_report
cve-2023-24816-ipython,IPython,connectivity_gap,false,true,false,not_reported,0,1,2,reported,1,1,4,reported_trace,true,LAPIS-Experiments/reports/ipython-ccec/runs/baseline-benchmark/baseline-benchmark_full_cve_report.json,LAPIS-Experiments/reports/ipython-ccec/runs/llm-auto-materialized-ccec-ordered-trace-v2/llm-auto-materialized-ccec-ordered-trace-v2_full_cve_report.json
cve-2024-27758-rpyc,RPyC,connectivity_gap,false,true,false,not_reported,0,1,0,reported,2,1,2,reported_trace,true,LAPIS-Experiments/reports/rpyc-llm-auto-ccec/runs/baseline-materialized/baseline-materialized_full_cve_report.json,LAPIS-Experiments/reports/rpyc-llm-auto-ccec/runs/materialized-llm-ccec-ordered-trace-v3/materialized-llm-ccec-ordered-trace-v3_full_cve_report.json
cve-2024-36039-pymysql,PyMySQL,propagation_gap,false,false,true,not_reported,0,1,2,reported,1,1,2,ctpc_fact_closed,true,LAPIS-Experiments/reports/pymysql-llm-auto-ctpc-latest/runs/baseline/baseline_full_cve_report.json,LAPIS-Experiments/reports/pymysql-llm-auto-ctpc-latest/runs/llm-auto-ctpc-ordered-trace-cli/llm-auto-ctpc-ordered-trace-cli_full_cve_report.json
cve-2026-24486-python-multipart,python-multipart,mixed_gap,false,true,true,not_reported,0,2,4,reported,1,2,4,ctpc_fact_closed,true,LAPIS-Experiments/reports/python-multipart-llm-auto-mixed-latest/runs/baseline/baseline_full_cve_report.json,LAPIS-Experiments/reports/python-multipart-llm-auto-mixed-latest/runs/final-ccec-ctpc/final-ccec-ctpc_full_cve_report.json
cve-2025-55156-pyload,pyLoad,mixed_gap,false,true,true,not_reported,0,2,0,reported,1,2,2,ctpc_fact_closed,true,LAPIS-Experiments/reports/pyload-llm-auto-mixed-latest/runs/baseline/baseline_full_cve_report.json,LAPIS-Experiments/reports/pyload-llm-auto-mixed-latest/runs/final-ccec-ctpc-clean-trace/final-ccec-ctpc-clean-trace_full_cve_report.json
cve-2023-4033-mlflow,MLflow,no_gap_control,true,false,false,reported,4,1,46,reported,4,1,46,reported_trace,true,LAPIS-Experiments/reports/mlflow-control-latest/runs/baseline-after-entrypoint-fallback/baseline-after-entrypoint-fallback_full_cve_report.json,LAPIS-Experiments/reports/mlflow-control-latest/runs/baseline-after-entrypoint-fallback/baseline-after-entrypoint-fallback_full_cve_report.json
